0,0,239,124,2.9,3.44
100,105,238.5,121,2.94,3.36
200,202,238,121,2.92,3.28
300,302,237.5,121,2.9,3.2
400,395,236.9,120,2.9,3.12
500,499,236.3,120,2.89,3.04
600,599,235.9,120,2.89,2.96
700,696,235.3,120,2.89,2.88
800,802,234.7,120,2.9,2.8
900,901,234.06,120,2.91,2.72
1000,1000,233.3,120,2.93,2.64
1200,1205,231.8,119,2.96,2.48
1400,1399,230.4,118,3.04,2.32
1600,1605,228.7,118,3.14,2.24
,2028,220.1,,,
,2000,220.5,,,
